originalUrl,initialStatus,redirectCount,redirectChain,finalUrl,finalStatus,responseTimeMs,contentType,ssrHtmlAvailable,emptyAppRoot,soft404,robotsMeta,xRobotsTag,xOgcSsr,canonicalUrl,canonicalStatus,canonicalConsistent,title,titleLength,metaDescription,descriptionLength,h1Count,h1Text,wordCount,duplicateTitleGroup,duplicateDescriptionGroup,duplicateH1Group,sitemapPresence,breadcrumbSchema,articleSchema,faqSchema,publishedDate,modifiedDate,author,featuredImage,soft404Indicators,thinContent,orphanLikely,queryDuplicate,wwwDuplicate,caseDuplicate,trailingSlashDuplicate,internalLinkSources,outgoingInternalLinks,classification,rootCause,action,confidence,decision,automatable,error
https://oilandgasclub.com/stress-q-and-a,200,0,200,https://oilandgasclub.com/stress-q-and-a,200,102,text/html; charset=utf-8,no,true,true,"index, follow",,cache,https://oilandgasclub.com/stress-q-and-a,200,true,Stress Q and A | Oilandgasclub,30,Improve your understanding of stress and its impact on various aspects of life through expert answers and practical advice.,123,0,,3,,,,true,false,false,false,,,,https://blogoilandgasbucket.s3.ap-northeast-1.amazonaws.com/Piping-stress-QA.png,empty-app-root,true,true,false,false,false,false,0,1,D. INDEXABLE_TECHNICAL_ISSUE,SSR returns empty <app-root> / meta-only shell (crawled but not indexed),Fix SSR body render; refuse caching empty shells; inject crawler body fallback,98,KEEP_AND_IMPROVE,true,
https://www.blog.oilandgasclub.com/Primavera-Training,0,0,,https://www.blog.oilandgasclub.com/Primavera-Training,0,0,,no,true,true,,,,,0,false,,0,,0,0,,0,,,,false,false,false,false,,,,,fetch failed,true,true,false,true,true,false,0,0,,,,,,,fetch failed
https://oilandgasclub.com/caesar-software,200,0,200,https://oilandgasclub.com/caesar-software,200,259,text/html; charset=utf-8,no,true,true,"index, follow",,cache,https://oilandgasclub.com/caesar-software,200,true,What is Caesar II | Oilandgasclub,33,"Explore the world of stress analysis, code compliance, and structural integrity assessment with Caesar II. Learn how this powerful tool helps engineers and designers in various industries ensure the performance and safety of complex piping networks.",249,0,,3,,,,true,false,false,false,,,,https://blogoilandgasbucket.s3.ap-northeast-1.amazonaws.com/CAESAR-II.jpeg,empty-app-root,true,true,false,false,false,false,0,1,D. INDEXABLE_TECHNICAL_ISSUE,SSR returns empty <app-root> / meta-only shell (crawled but not indexed),Fix SSR body render; refuse caching empty shells; inject crawler body fallback,98,KEEP_AND_IMPROVE,true,
https://oilandgasclub.com/types-of-common-fittings,200,0,200,https://oilandgasclub.com/types-of-common-fittings,200,269,text/html; charset=utf-8,no,true,true,"index, follow",,cache,https://oilandgasclub.com/types-of-common-fittings,200,true,Types of Pipe Fittings and Components for Piping | Oilandgasclub,64,"Explore the essential types of pipe fittings and components for piping systems. From elbows and tees to valves and flanges, these components play a vital role in constructing, controlling, and maintaining pipelines across various industries",240,0,,8,,,,true,false,false,false,,,,https://blogoilandgasbucket.s3.ap-northeast-1.amazonaws.com/Fittings.jpeg,empty-app-root,true,true,false,false,false,false,0,1,D. INDEXABLE_TECHNICAL_ISSUE,SSR returns empty <app-root> / meta-only shell (crawled but not indexed),Fix SSR body render; refuse caching empty shells; inject crawler body fallback,98,KEEP_AND_IMPROVE,true,
https://oilandgasclub.com/non-destructive-testing,200,0,200,https://oilandgasclub.com/non-destructive-testing,200,240,text/html; charset=utf-8,no,true,true,"index, follow",,cache,https://oilandgasclub.com/non-destructive-testing,200,true,Non Destructive Testing | Oilandgasclub,39,"&quot;Discover the importance of Non-Destructive Testing (NDT) in ensuring safety and quality across industries. Explore NDT methods, applications, and career opportunities.&quot;",179,0,,4,,,,true,false,false,false,,,,https://blogoilandgasbucket.s3.ap-northeast-1.amazonaws.com/Non-Destructive Testing(1).png,empty-app-root,true,true,false,false,false,false,0,1,D. INDEXABLE_TECHNICAL_ISSUE,SSR returns empty <app-root> / meta-only shell (crawled but not indexed),Fix SSR body render; refuse caching empty shells; inject crawler body fallback,98,KEEP_AND_IMPROVE,true,
https://oilandgasclub.com/mastering-process-design,200,0,200,https://oilandgasclub.com/mastering-process-design,200,97,text/html; charset=utf-8,no,true,true,"index, follow",,cache,https://oilandgasclub.com/mastering-process-design,200,true,Mastering Process Design: A Comprehensive Course for Engineers | Oilandgasclub,78,In today,8,0,,8,,,,true,false,false,false,,,,https://blogoilandgasbucket.s3.ap-northeast-1.amazonaws.com/1.jpeg,empty-app-root,true,true,false,false,false,false,0,1,D. INDEXABLE_TECHNICAL_ISSUE,SSR returns empty <app-root> / meta-only shell (crawled but not indexed),Fix SSR body render; refuse caching empty shells; inject crawler body fallback,98,KEEP_AND_IMPROVE,true,
https://oilandgasclub.com/a-process-design-course-for-oil-and-gas-professionals,200,0,200,https://oilandgasclub.com/a-process-design-course-for-oil-and-gas-professionals,200,231,text/html; charset=utf-8,no,true,true,"index, follow",,cache,https://oilandgasclub.com/a-process-design-course-for-oil-and-gas-professionals,200,true,A process design course for oil and gas professionals | Oilandgasclub,69,"The oil and gas employer is one of the most complex and demanding sectors internationally, requiring a deep understanding of the engineering mind, safety regulations, and routine operational performance. For professionals in this field, the layout of the reading method is crucial to ensure that business operations run smoothly, thoroughly, and cost-effectively. Tailored specifically for oil and gasoline professionals, the system layout direction provides the technical data and hands-on competenc",500,0,,9,,,,true,false,false,false,,,,https://blogoilandgasbucket.s3.ap-northeast-1.amazonaws.com/5(1).jpeg,empty-app-root,true,true,false,false,false,false,0,1,D. INDEXABLE_TECHNICAL_ISSUE,SSR returns empty <app-root> / meta-only shell (crawled but not indexed),Fix SSR body render; refuse caching empty shells; inject crawler body fallback,98,KEEP_AND_IMPROVE,true,
https://oilandgasclub.com/flanges-and-types,200,0,200,https://oilandgasclub.com/flanges-and-types,200,98,text/html; charset=utf-8,no,true,true,"index, follow",,cache,https://oilandgasclub.com/flanges-and-types,200,true,Flanges and types of flanges | Oilandgasclub,44,Discover how flanges ensure leak-proof connections and facilitate easy maintenance in critical piping systems,109,0,,5,,,,true,false,false,false,,,,https://blog-oilandgas.s3.ap-northeast-1.amazonaws.com/Flanges.jpg,empty-app-root,true,true,false,false,false,false,0,1,D. INDEXABLE_TECHNICAL_ISSUE,SSR returns empty <app-root> / meta-only shell (crawled but not indexed),Fix SSR body render; refuse caching empty shells; inject crawler body fallback,98,KEEP_AND_IMPROVE,true,
https://oilandgasclub.com/conversion-of-units,200,0,200,https://oilandgasclub.com/conversion-of-units,200,190,text/html; charset=utf-8,no,true,true,"index, follow",,cache,https://oilandgasclub.com/conversion-of-units,200,true,Conversion of Units | Oilandgasclub,35,"Conversion of units is essential for maintaining accuracy and consistency in measurements. Learn how to convert various units of length, volume, mass, and more in science, engineering, and everyday life.",203,0,,3,,,,true,false,false,false,,,,https://blogoilandgasbucket.s3.ap-northeast-1.amazonaws.com/Conversion of Units.jpeg,empty-app-root,true,true,false,false,false,false,0,1,D. INDEXABLE_TECHNICAL_ISSUE,SSR returns empty <app-root> / meta-only shell (crawled but not indexed),Fix SSR body render; refuse caching empty shells; inject crawler body fallback,98,KEEP_AND_IMPROVE,true,
https://oilandgasclub.com/responsibilities-of-piping-construction-engineers,200,0,200,https://oilandgasclub.com/responsibilities-of-piping-construction-engineers,200,87,text/html; charset=utf-8,no,true,true,"index, follow",,cache,https://oilandgasclub.com/responsibilities-of-piping-construction-engineers,200,true,Responsibilities of Piping Construction Engineers | Oilandgasclub,65,piping construction engineers in various projects. From designing and supervising piping layouts to ensuring compliance with industry standards and regulations,159,0,,5,,,,true,false,false,false,,,,https://blogoilandgasbucket.s3.ap-northeast-1.amazonaws.com/Piping_construction_Engineer-transformed.jpeg,empty-app-root,true,true,false,false,false,false,0,1,D. INDEXABLE_TECHNICAL_ISSUE,SSR returns empty <app-root> / meta-only shell (crawled but not indexed),Fix SSR body render; refuse caching empty shells; inject crawler body fallback,98,KEEP_AND_IMPROVE,true,
https://oilandgasclub.com/primavera-training,200,0,200,https://oilandgasclub.com/primavera-training,200,262,text/html; charset=utf-8,no,true,true,"index, follow",,cache,https://oilandgasclub.com/primavera-training,200,true,Primavera-Training | Oilandgasclub,34,Primavera-Training,18,0,,2,,,,true,false,false,false,,,,https://elearning-oilandgas.s3-accelerate.amazonaws.com/EditorImages/Primavera-Training.png,empty-app-root,true,true,false,false,false,false,0,1,D. INDEXABLE_TECHNICAL_ISSUE,SSR returns empty <app-root> / meta-only shell (crawled but not indexed),Fix SSR body render; refuse caching empty shells; inject crawler body fallback,98,KEEP_AND_IMPROVE,true,
